area_name,indicator,date,measure,unit,value,group
Trafford,Google community mobility trends,2020-04-20,Percentage change from baseline,Visits and length of stay,-0.73,Retail & recreation
Trafford,Google community mobility trends,2020-04-20,Percentage change from baseline,Visits and length of stay,-0.32,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-04-20,Percentage change from baseline,Visits and length of stay,-0.33,Parks*
Trafford,Google community mobility trends,2020-04-21,Percentage change from baseline,Visits and length of stay,-0.73,Retail & recreation
Trafford,Google community mobility trends,2020-04-21,Percentage change from baseline,Visits and length of stay,-0.28,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-04-21,Percentage change from baseline,Visits and length of stay,-0.26,Parks*
Trafford,Google community mobility trends,2020-04-22,Percentage change from baseline,Visits and length of stay,-0.75,Retail & recreation
Trafford,Google community mobility trends,2020-04-22,Percentage change from baseline,Visits and length of stay,-0.28,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-04-22,Percentage change from baseline,Visits and length of stay,-0.36,Parks*
Trafford,Google community mobility trends,2020-04-23,Percentage change from baseline,Visits and length of stay,-0.73,Retail & recreation
Trafford,Google community mobility trends,2020-04-23,Percentage change from baseline,Visits and length of stay,-0.29,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-04-23,Percentage change from baseline,Visits and length of stay,-0.35,Parks*
Trafford,Google community mobility trends,2020-04-24,Percentage change from baseline,Visits and length of stay,-0.75,Retail & recreation
Trafford,Google community mobility trends,2020-04-24,Percentage change from baseline,Visits and length of stay,-0.28,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-04-24,Percentage change from baseline,Visits and length of stay,-0.3,Parks*
Trafford,Google community mobility trends,2020-04-25,Percentage change from baseline,Visits and length of stay,-0.81,Retail & recreation
Trafford,Google community mobility trends,2020-04-25,Percentage change from baseline,Visits and length of stay,-0.32,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-04-25,Percentage change from baseline,Visits and length of stay,-0.53,Parks*
Trafford,Google community mobility trends,2020-04-26,Percentage change from baseline,Visits and length of stay,-0.83,Retail & recreation
Trafford,Google community mobility trends,2020-04-26,Percentage change from baseline,Visits and length of stay,-0.41,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-04-26,Percentage change from baseline,Visits and length of stay,-0.45,Parks*
Trafford,Google community mobility trends,2020-04-27,Percentage change from baseline,Visits and length of stay,-0.71,Retail & recreation
Trafford,Google community mobility trends,2020-04-27,Percentage change from baseline,Visits and length of stay,-0.31,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-04-27,Percentage change from baseline,Visits and length of stay,-0.23,Parks*
Trafford,Google community mobility trends,2020-04-28,Percentage change from baseline,Visits and length of stay,-0.73,Retail & recreation
Trafford,Google community mobility trends,2020-04-28,Percentage change from baseline,Visits and length of stay,-0.32,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-04-28,Percentage change from baseline,Visits and length of stay,-0.56,Parks*
Trafford,Google community mobility trends,2020-04-29,Percentage change from baseline,Visits and length of stay,-0.76,Retail & recreation
Trafford,Google community mobility trends,2020-04-29,Percentage change from baseline,Visits and length of stay,-0.31,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-04-29,Percentage change from baseline,Visits and length of stay,-0.56,Parks*
Trafford,Google community mobility trends,2020-04-30,Percentage change from baseline,Visits and length of stay,-0.75,Retail & recreation
Trafford,Google community mobility trends,2020-04-30,Percentage change from baseline,Visits and length of stay,-0.3,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-04-30,Percentage change from baseline,Visits and length of stay,-0.55,Parks*
Trafford,Google community mobility trends,2020-05-01,Percentage change from baseline,Visits and length of stay,-0.77,Retail & recreation
Trafford,Google community mobility trends,2020-05-01,Percentage change from baseline,Visits and length of stay,-0.28,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-05-01,Percentage change from baseline,Visits and length of stay,-0.41,Parks*
Trafford,Google community mobility trends,2020-05-02,Percentage change from baseline,Visits and length of stay,-0.82,Retail & recreation
Trafford,Google community mobility trends,2020-05-02,Percentage change from baseline,Visits and length of stay,-0.32,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-05-02,Percentage change from baseline,Visits and length of stay,-0.56,Parks*
Trafford,Google community mobility trends,2020-05-03,Percentage change from baseline,Visits and length of stay,-0.83,Retail & recreation
Trafford,Google community mobility trends,2020-05-03,Percentage change from baseline,Visits and length of stay,-0.4,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-05-03,Percentage change from baseline,Visits and length of stay,-0.41,Parks*
