area_code,area_name,indicator,meausre,value,period
E92000001,England,internal in ,Count year to mid-Year,130544,2021
E92000001,England,internal in ,Per 1000 year to mid-Year,2.31,2021
E92000001,England,internal out ,Count year to mid-Year,146468,2021
E92000001,England,internal out ,Per 1000 year to mid-Year,2.59,2021
E92000001,England,internal net ,Count year to mid-Year,-15924,2021
E92000001,England,internal net ,Per 1000 year to mid-Year,-0.28,2021
E92000001,England,international in ,Count year to mid-Year,624669,2021
E92000001,England,international in ,Per 1000 year to mid-Year,11.05,2021
E92000001,England,international out ,Count year to mid-Year,418336,2021
E92000001,England,international out ,Per 1000 year to mid-Year,7.4,2021
E92000001,England,international net ,Count year to mid-Year,206333,2021
E92000001,England,international net ,Per 1000 year to mid-Year,3.65,2021
E92000001,England,special change ,Count year to mid-Year,4995,2021
E92000001,England,special change ,Per 1000 year to mid-Year,0.09,2021
E92000001,England,unattrib ,Count year to mid-Year,-7151,2021
E92000001,England,unattrib ,Per 1000 year to mid-Year,-0.13,2021
E92000001,England,other adjust ,Count year to mid-Year,0,2021
E92000001,England,other adjust ,Per 1000 year to mid-Year,0,2021
E92000001,England,natchange ,Count year to mid-Year,40677,2021
E92000001,England,natchange ,Per 1000 year to mid-Year,0.72,2021
E92000001,England,population ,Count year to mid-Year,57106398,2022
E92000001,England,population ,Per 1000 year to mid-Year,1000,2022
E92000001,England,births ,Count year to mid-Year,591225,2022
E92000001,England,births ,Per 1000 year to mid-Year,10.35,2022
E92000001,England,deaths ,Count year to mid-Year,538305,2022
E92000001,England,deaths ,Per 1000 year to mid-Year,9.43,2022
E92000001,England,internal in ,Count year to mid-Year,112337,2022
E92000001,England,internal in ,Per 1000 year to mid-Year,1.97,2022
E92000001,England,internal out ,Count year to mid-Year,132789,2022
E92000001,England,internal out ,Per 1000 year to mid-Year,2.33,2022
E92000001,England,internal net ,Count year to mid-Year,-20452,2022
E92000001,England,internal net ,Per 1000 year to mid-Year,-0.36,2022
E92000001,England,international in ,Count year to mid-Year,949640,2022
E92000001,England,international in ,Per 1000 year to mid-Year,16.63,2022
E92000001,England,international out ,Count year to mid-Year,430148,2022
E92000001,England,international out ,Per 1000 year to mid-Year,7.53,2022
E92000001,England,international net ,Count year to mid-Year,519492,2022
E92000001,England,international net ,Per 1000 year to mid-Year,9.1,2022
E92000001,England,special change ,Count year to mid-Year,-453,2022
E92000001,England,special change ,Per 1000 year to mid-Year,-0.01,2022
E92000001,England,unattrib ,Count year to mid-Year,NA,2022
E92000001,England,unattrib ,Per 1000 year to mid-Year,NA,2022
E92000001,England,other adjust ,Count year to mid-Year,0,2022
E92000001,England,other adjust ,Per 1000 year to mid-Year,0,2022
E92000001,England,natchange ,Count year to mid-Year,52920,2022
E92000001,England,natchange ,Per 1000 year to mid-Year,0.93,2022
E92000001,England,population ,Count year to mid-Year,53107169,2011
E92000001,England,population ,Per 1000 year to mid-Year,1000,2011
E92000001,England,births ,Count year to mid-Year,NA,2011
E92000001,England,births ,Per 1000 year to mid-Year,NA,2011
E92000001,England,deaths ,Count year to mid-Year,NA,2011
E92000001,England,deaths ,Per 1000 year to mid-Year,NA,2011
E92000001,England,internal in ,Count year to mid-Year,NA,2011
E92000001,England,internal in ,Per 1000 year to mid-Year,NA,2011
E92000001,England,internal out ,Count year to mid-Year,NA,2011
E92000001,England,internal out ,Per 1000 year to mid-Year,NA,2011
E92000001,England,internal net ,Count year to mid-Year,NA,2011
E92000001,England,internal net ,Per 1000 year to mid-Year,NA,2011
E92000001,England,international in ,Count year to mid-Year,NA,2011
E92000001,England,international in ,Per 1000 year to mid-Year,NA,2011
E92000001,England,international out ,Count year to mid-Year,NA,2011
E92000001,England,international out ,Per 1000 year to mid-Year,NA,2011
E92000001,England,international net ,Count year to mid-Year,NA,2011
E92000001,England,international net ,Per 1000 year to mid-Year,NA,2011
E92000001,England,special change ,Count year to mid-Year,NA,2011
E92000001,England,special change ,Per 1000 year to mid-Year,NA,2011
E92000001,England,unattrib ,Count year to mid-Year,NA,2011
E92000001,England,unattrib ,Per 1000 year to mid-Year,NA,2011
E92000001,England,other adjust ,Count year to mid-Year,NA,2011
E92000001,England,other adjust ,Per 1000 year to mid-Year,NA,2011
E92000001,England,natchange ,Count year to mid-Year,NA,2011
E92000001,England,natchange ,Per 1000 year to mid-Year,NA,2011
E92000001,England,population ,Count year to mid-Year,53506812,2012
E92000001,England,population ,Per 1000 year to mid-Year,1000,2012
E92000001,England,births ,Count year to mid-Year,693892,2012
E92000001,England,births ,Per 1000 year to mid-Year,12.97,2012
E92000001,England,deaths ,Count year to mid-Year,462730,2012
E92000001,England,deaths ,Per 1000 year to mid-Year,8.65,2012
E92000001,England,internal in ,Count year to mid-Year,108936,2012
E92000001,England,internal in ,Per 1000 year to mid-Year,2.04,2012
E92000001,England,internal out ,Count year to mid-Year,113563,2012
E92000001,England,internal out ,Per 1000 year to mid-Year,2.12,2012
E92000001,England,internal net ,Count year to mid-Year,-4627,2012
E92000001,England,internal net ,Per 1000 year to mid-Year,-0.09,2012
E92000001,England,international in ,Count year to mid-Year,577717,2012
E92000001,England,international in ,Per 1000 year to mid-Year,10.8,2012
E92000001,England,international out ,Count year to mid-Year,419614,2012
E92000001,England,international out ,Per 1000 year to mid-Year,7.84,2012
E92000001,England,international net ,Count year to mid-Year,158103,2012
E92000001,England,international net ,Per 1000 year to mid-Year,2.95,2012
E92000001,England,special change ,Count year to mid-Year,2001,2012
E92000001,England,special change ,Per 1000 year to mid-Year,0.04,2012
E92000001,England,unattrib ,Count year to mid-Year,13004,2012
E92000001,England,unattrib ,Per 1000 year to mid-Year,0.24,2012
E92000001,England,other adjust ,Count year to mid-Year,0,2012
E92000001,England,other adjust ,Per 1000 year to mid-Year,0,2012
E92000001,England,natchange ,Count year to mid-Year,231162,2012
E92000001,England,natchange ,Per 1000 year to mid-Year,4.32,2012
E92000001,England,population ,Count year to mid-Year,53918686,2013
E92000001,England,population ,Per 1000 year to mid-Year,1000,2013
E92000001,England,births ,Count year to mid-Year,676586,2013
E92000001,England,births ,Per 1000 year to mid-Year,12.55,2013
E92000001,England,deaths ,Count year to mid-Year,480976,2013
E92000001,England,deaths ,Per 1000 year to mid-Year,8.92,2013
E92000001,England,internal in ,Count year to mid-Year,108344,2013
E92000001,England,internal in ,Per 1000 year to mid-Year,2.01,2013
E92000001,England,internal out ,Count year to mid-Year,112875,2013
E92000001,England,internal out ,Per 1000 year to mid-Year,2.09,2013
